iter	Passed	Remaining
0	144	144506
1	146	72913
2	147	49023
3	148	37071
4	150	29949
5	151	25168
6	153	21764
7	154	19159
8	155	17123
9	156	15493
10	178	16056
11	180	14824
12	187	14263
13	189	13329
14	190	12511
15	191	11781
16	192	11154
17	194	10597
18	195	10101
19	197	9698
20	199	9314
21	201	8956
22	202	8608
23	203	8291
24	205	8001
25	206	7726
26	207	7468
27	208	7231
28	209	7013
29	214	6939
30	215	6749
31	217	6571
32	218	6404
33	219	6248
34	221	6101
35	222	5961
36	223	5827
37	231	5856
38	232	5731
39	233	5614
40	236	5540
41	248	5662
42	252	5616
43	253	5512
44	255	5412
45	257	5349
46	259	5256
47	260	5166
48	262	5100
49	264	5019
50	265	4935
51	266	4859
52	267	4781
53	268	4707
54	269	4636
55	271	4568
56	272	4514
57	273	4447
58	274	4385
59	276	4325
60	277	4268
61	278	4210
62	279	4155
63	280	4100
64	281	4050
65	283	4010
66	284	3966
67	285	3919
68	287	3874
69	288	3831
70	289	3792
71	291	3751
72	292	3709
73	293	3669
74	296	3657
75	298	3623
76	300	3606
77	302	3576
78	303	3540
79	304	3506
80	306	3473
81	307	3440
82	308	3403
83	311	3393
84	313	3373
85	314	3345
86	316	3317
87	317	3288
88	318	3261
89	319	3235
90	321	3208
91	322	3180
92	323	3154
93	327	3156
94	328	3129
95	330	3107
96	331	3088
97	333	3066
98	334	3042
99	335	3018
100	336	2995
101	337	2972
102	343	2993
103	345	2972
104	346	2953
105	348	2935
106	349	2918
107	350	2896
108	352	2884
109	357	2892
110	358	2871
111	359	2851
112	360	2830
113	361	2810
114	362	2792
115	364	2775
116	365	2755
117	366	2737
118	370	2744
119	372	2734
120	374	2721
121	375	2702
122	376	2685
123	377	2669
124	378	2651
125	379	2634
126	380	2616
127	381	2600
128	382	2584
129	386	2584
130	387	2568
131	388	2552
132	389	2537
133	390	2522
134	391	2507
135	392	2492
136	393	2477
137	395	2467
138	396	2453
139	397	2439
140	400	2438
141	401	2423
142	402	2409
143	403	2395
144	404	2383
145	405	2373
146	406	2361
147	407	2348
148	411	2348
149	422	2392
150	425	2394
151	427	2382
152	428	2371
153	430	2363
154	431	2352
155	432	2342
156	458	2460
157	465	2478
158	466	2469
159	468	2458
160	469	2444
161	470	2433
162	471	2422
163	473	2411
164	474	2401
165	481	2418
166	482	2407
167	483	2396
168	485	2385
169	486	2375
170	488	2370
171	490	2360
172	529	2530
173	530	2520
174	532	2508
175	533	2497
176	534	2486
177	536	2475
178	544	2497
179	545	2486
180	547	2475
181	548	2464
182	549	2453
183	550	2443
184	555	2448
185	556	2437
186	558	2428
187	560	2419
188	561	2410
189	562	2399
190	564	2389
191	565	2379
192	571	2388
193	611	2539
194	612	2528
195	613	2517
196	615	2506
197	616	2498
198	619	2495
199	621	2484
200	622	2473
201	623	2463
202	624	2453
203	626	2443
204	645	2501
205	646	2491
206	654	2507
207	655	2497
208	657	2487
209	658	2477
210	659	2467
211	661	2457
212	662	2448
213	667	2452
214	668	2442
215	670	2432
216	673	2430
217	683	2450
218	684	2440
219	685	2432
220	687	2421
221	688	2411
222	689	2402
223	690	2392
224	691	2382
225	692	2372
226	694	2363
227	699	2367
228	700	2359
229	702	2351
230	703	2343
231	705	2333
232	706	2325
233	708	2318
234	709	2309
235	716	2319
236	717	2310
237	719	2302
238	720	2293
239	722	2286
240	723	2278
241	725	2271
242	726	2264
243	728	2256
244	729	2247
245	730	2239
246	732	2231
247	733	2223
248	735	2217
249	739	2217
250	740	2210
251	742	2203
252	743	2195
253	745	2188
254	746	2180
255	747	2172
256	748	2165
257	756	2176
258	757	2168
259	758	2160
260	759	2151
261	761	2145
262	762	2137
263	765	2134
264	770	2137
265	772	2132
266	774	2125
267	775	2119
268	776	2111
269	777	2103
270	779	2096
271	780	2089
272	783	2087
273	785	2080
274	793	2092
275	794	2085
276	800	2090
277	802	2083
278	803	2076
279	804	2069
280	806	2062
281	807	2055
282	808	2048
283	809	2041
284	811	2034
285	812	2027
286	817	2031
287	818	2024
288	820	2017
289	821	2011
290	822	2004
291	823	1997
292	824	1989
293	825	1982
294	826	1975
295	830	1976
296	832	1970
297	833	1964
298	834	1957
299	836	1950
300	837	1943
301	838	1937
302	839	1930
303	840	1923
304	840	1916
305	841	1909
306	846	1909
307	847	1903
308	848	1896
309	849	1889
310	850	1883
311	851	1876
312	852	1870
313	853	1863
314	854	1857
315	855	1850
316	855	1844
317	857	1838
318	861	1839
319	863	1834
320	864	1829
321	865	1823
322	867	1817
323	868	1811
324	869	1805
325	870	1799
326	871	1793
327	874	1790
328	875	1785
329	876	1779
330	877	1773
331	878	1767
332	879	1761
333	880	1755
334	881	1749
335	882	1743
336	883	1737
337	884	1731
338	885	1725
339	888	1724
340	889	1718
341	890	1712
342	891	1707
343	892	1702
344	893	1696
345	894	1691
346	895	1685
347	896	1680
348	897	1674
349	898	1669
350	904	1672
351	906	1668
352	907	1663
353	908	1658
354	910	1653
355	911	1648
356	912	1643
357	913	1638
358	916	1635
359	917	1631
360	918	1626
361	927	1633
362	928	1629
363	930	1625
364	931	1620
365	932	1615
366	939	1621
367	941	1616
368	943	1612
369	944	1608
370	945	1603
371	947	1599
372	948	1594
373	950	1590
374	959	1598
375	961	1596
376	963	1592
377	964	1587
378	965	1582
379	966	1577
380	973	1582
381	975	1578
382	976	1573
383	978	1569
384	979	1564
385	984	1565
386	985	1561
387	990	1562
388	992	1558
389	993	1553
390	994	1548
391	995	1544
392	1010	1560
393	1011	1556
394	1040	1593
395	1041	1588
396	1042	1584
397	1044	1579
398	1086	1636
399	1087	1631
400	1089	1627
401	1090	1622
402	1092	1617
403	1097	1619
404	1098	1614
405	1100	1609
406	1101	1604
407	1102	1600
408	1104	1595
409	1105	1590
410	1112	1594
411	1114	1590
412	1117	1588
413	1118	1583
414	1120	1579
415	1121	1574
416	1122	1569
417	1124	1565
418	1129	1566
419	1133	1565
420	1135	1561
421	1136	1556
422	1138	1552
423	1139	1548
424	1178	1594
425	1180	1590
426	1181	1585
427	1182	1580
428	1183	1575
429	1185	1571
430	1186	1566
431	1189	1563
432	1193	1562
433	1194	1558
434	1196	1553
435	1197	1549
436	1198	1544
437	1200	1539
438	1201	1535
439	1202	1530
440	1232	1562
441	1234	1558
442	1235	1553
443	1241	1555
444	1243	1550
445	1244	1545
446	1245	1541
447	1247	1536
448	1248	1531
449	1249	1527
450	1250	1522
451	1251	1517
452	1256	1517
453	1257	1512
454	1260	1509
455	1261	1505
456	1263	1500
457	1264	1496
458	1266	1492
459	1275	1497
460	1277	1494
461	1299	1513
462	1306	1514
463	1307	1510
464	1308	1506
465	1310	1501
466	1311	1496
467	1312	1492
468	1313	1487
469	1314	1482
470	1318	1481
471	1320	1476
472	1321	1472
473	1322	1468
474	1324	1463
475	1326	1460
